,gender,age,state,Household Size,Household Income,income
21714,Female,39.0,Sarawak,1 orang,5127.0835,5127.0835
21721,Male,48.0,Sarawak,3 orang,5128.0835,2862.4167
21726,Male,50.0,Sarawak,4 orang,5128.8335,5128.8335
21728,Male,48.0,Sarawak,4 orang,5129.0,5129.0
21731,Male,34.0,Sarawak,6 orang dan lebih,5129.6665,2704.4167
21734,Male,74.0,Sarawak,4 orang,5131.0835,2074.8333
21735,Male,29.0,Sarawak,3 orang,5131.1665,2871.6667
21742,Male,46.0,Sarawak,4 orang,5133.0,5133.0
21746,Female,53.0,Sarawak,5 orang,5133.3335,2159.25
21748,Male,34.0,Sarawak,4 orang,5133.4165,1476.1666
21752,Male,31.0,Sarawak,1 orang,5134.5,5134.5
21761,Female,52.0,Sarawak,4 orang,5136.4165,2474.5833
21763,Male,58.0,Sarawak,3 orang,5137.0,2625.5
21767,Male,53.0,Sarawak,4 orang,5138.0835,3388.0833
21771,Male,39.0,Sarawak,1 orang,5139.5415,5139.5415
21779,Female,53.0,Sarawak,4 orang,5142.0,3075.5
21781,Male,20.0,Sarawak,4 orang,5142.5835,2443.8333
21783,Female,31.0,Sarawak,2 orang,5143.1665,5143.1665
21786,Female,29.0,Sarawak,4 orang,5143.75,2856.5
21788,Female,40.0,Sarawak,2 orang,5144.5,5144.5
21789,Male,40.0,Sarawak,1 orang,5144.9165,5144.9165
21790,Male,51.0,Sarawak,4 orang,5145.0,5145.0
21792,Male,33.0,Sarawak,4 orang,5145.8335,5145.8335
21794,Male,37.0,Sarawak,4 orang,5146.1665,5146.1665
21799,Male,35.0,Sarawak,6 orang dan lebih,5148.3335,2624.1667
21801,Male,49.0,Sarawak,6 orang dan lebih,5148.5835,2347.1667
21803,Male,33.0,Sarawak,5 orang,5148.6665,5148.6665
21807,Male,51.0,Sarawak,4 orang,5149.6665,2758.0
21813,Female,36.0,Sarawak,1 orang,5150.3335,5150.3335
21820,Female,51.0,Sarawak,3 orang,5153.1665,5153.1665
21821,Male,69.0,Sarawak,6 orang dan lebih,5153.1665,2832.75
21824,Female,24.0,Sarawak,4 orang,5154.25,2916.25
21827,Male,43.0,Sarawak,6 orang dan lebih,5155.1665,4595.8335
21828,Male,49.0,Sarawak,6 orang dan lebih,5155.2915,3346.625
21830,Male,64.0,Sarawak,6 orang dan lebih,5156.0,1846.5834
21835,Female,38.0,Sarawak,5 orang,5157.25,3765.5833
21837,Female,49.0,Sarawak,5 orang,5157.6665,5157.6665
21848,Male,55.0,Sarawak,6 orang dan lebih,5159.5,3927.8333
21850,Male,62.0,Sarawak,5 orang,5159.75,5159.75
21857,Male,52.0,Sarawak,6 orang dan lebih,5162.0,5162.0
21861,Male,28.0,Sarawak,1 orang,5163.5,5163.5
21862,Male,32.0,Sarawak,1 orang,5163.75,5163.75
21864,Male,42.0,Sarawak,3 orang,5164.1665,5164.1665
21868,Male,30.0,Sarawak,1 orang,5165.5,5165.5
21869,Male,37.0,Sarawak,6 orang dan lebih,5165.9165,5165.9165
21872,Male,27.0,Sarawak,5 orang,5166.5835,3553.1667
21873,Male,44.0,Sarawak,5 orang,5166.8335,5166.8335
21881,Male,20.0,Sarawak,5 orang,5169.3335,2705.1667
21884,Male,50.0,Sarawak,6 orang dan lebih,5169.8335,3162.25
21887,Male,52.0,Sarawak,4 orang,5170.6665,2807.9167
21888,Male,39.0,Sarawak,1 orang,5170.6665,5170.6665
21890,Male,26.0,Sarawak,4 orang,5171.1665,3346.3333
21894,Male,29.0,Sarawak,6 orang dan lebih,5173.3335,5173.3335
21895,Male,37.0,Sarawak,6 orang dan lebih,5173.6665,1490.9166
21906,Male,58.0,Sarawak,2 orang,5175.8335,5175.8335
21919,Male,78.0,Sarawak,6 orang dan lebih,5179.1665,2900.0
21927,Male,31.0,Sarawak,3 orang,5180.0835,3616.1667
21928,Female,68.0,Sarawak,6 orang dan lebih,5180.4165,1608.75
21931,Male,58.0,Sarawak,3 orang,5182.75,2181.3333
21939,Male,57.0,Sarawak,4 orang,5184.75,3193.25
21940,Female,32.0,Sarawak,1 orang,5185.0,5185.0
21943,Male,36.0,Sarawak,1 orang,5185.75,5185.75
21946,Male,24.0,Sarawak,5 orang,5186.0,2211.0
21947,Male,36.0,Sarawak,1 orang,5186.0835,5186.0835
21954,Male,53.0,Sarawak,4 orang,5188.5,3935.0833
21958,Male,27.0,Sarawak,3 orang,5189.5,3034.1667
21961,Male,47.0,Sarawak,6 orang dan lebih,5189.9165,3134.75
21962,Male,54.0,Sarawak,6 orang dan lebih,5190.0,5190.0
21967,Male,57.0,Sarawak,2 orang,5190.8335,5190.8335
21968,Male,69.0,Sarawak,6 orang dan lebih,5191.125,1597.3334
21970,Female,52.0,Sarawak,4 orang,5191.5835,5191.5835
21972,Male,52.0,Sarawak,6 orang dan lebih,5191.8335,5191.8335
21975,Male,35.0,Sarawak,4 orang,5193.1665,5193.1665
21979,Male,47.0,Sarawak,6 orang dan lebih,5194.0,5194.0
21982,Male,21.0,Sarawak,5 orang,5194.8335,2429.0833
21983,Male,32.0,Sarawak,3 orang,5194.8335,2129.6667
21987,Male,47.0,Sarawak,6 orang dan lebih,5195.5,1746.6666
21992,Male,41.0,Sarawak,1 orang,5196.4165,5196.4165
21996,Male,69.0,Sarawak,5 orang,5197.25,1700.4166
21999,Male,49.0,Sarawak,6 orang dan lebih,5198.1665,2831.9167
22010,Female,63.0,Sarawak,2 orang,5202.5,5202.5
22011,Male,29.0,Sarawak,4 orang,5202.7915,3029.0
22018,Male,44.0,Sarawak,5 orang,5205.0,5205.0
22021,Male,55.0,Sarawak,4 orang,5205.0835,4560.4165
22023,Female,41.0,Sarawak,5 orang,5206.75,3095.5833
22028,Male,53.0,Sarawak,6 orang dan lebih,5207.9165,2970.5
22030,Male,44.0,Sarawak,6 orang dan lebih,5208.5,2191.8333
22036,Male,35.0,Sarawak,3 orang,5210.3335,5210.3335
22038,Male,52.0,Sarawak,5 orang,5211.0835,3517.25
22041,Male,48.0,Sarawak,4 orang,5211.875,1885.875
22042,Male,42.0,Sarawak,6 orang dan lebih,5212.25,5212.25
22045,Male,28.0,Sarawak,1 orang,5212.5,5212.5
22057,Male,50.0,Sarawak,6 orang dan lebih,5216.4165,3708.75
22059,Male,38.0,Sarawak,1 orang,5216.5835,5216.5835
22063,Male,47.0,Sarawak,6 orang dan lebih,5217.75,3360.1667
22065,Male,52.0,Sarawak,6 orang dan lebih,5217.8335,3782.5
22066,Male,60.0,Sarawak,6 orang dan lebih,5218.0835,2227.0
22067,Male,65.0,Sarawak,2 orang,5218.5835,5218.5835
22071,Male,46.0,Sarawak,3 orang,5219.75,5219.75
22075,Male,36.0,Sarawak,2 orang,5220.1665,5220.1665
22076,Male,30.0,Sarawak,5 orang,5220.1665,4861.8335
22077,Male,42.0,Sarawak,1 orang,5220.5,5220.5
22078,Male,67.0,Sarawak,5 orang,5220.6665,3079.5
22081,Male,34.0,Sarawak,1 orang,5221.3335,5221.3335
22084,Male,42.0,Sarawak,6 orang dan lebih,5221.5,3957.1667
22087,Male,45.0,Sarawak,3 orang,5222.25,5222.25
22095,Female,28.0,Sarawak,5 orang,5223.5,2382.5833
22097,Male,37.0,Sarawak,6 orang dan lebih,5224.125,1941.0
22098,Male,52.0,Sarawak,3 orang,5224.1665,2882.9167
22101,Male,53.0,Sarawak,1 orang,5224.25,5224.25
22108,Male,45.0,Sarawak,6 orang dan lebih,5226.0,5226.0
22120,Male,53.0,Sarawak,4 orang,5227.1665,2191.8333
22133,Male,52.0,Sarawak,6 orang dan lebih,5230.5835,2076.8333
22142,Male,27.0,Sarawak,4 orang,5232.625,3219.1667
22154,Male,30.0,Sarawak,4 orang,5236.4165,3206.5833
22155,Male,62.0,Sarawak,2 orang,5236.75,3260.6667
22160,Female,39.0,Sarawak,6 orang dan lebih,5238.5835,5238.5835
22167,Male,46.0,Sarawak,4 orang,5240.1665,3039.4167
22174,Male,64.0,Sarawak,4 orang,5241.6665,2873.0
22178,Female,57.0,Sarawak,2 orang,5242.0835,2890.0
22188,Male,49.0,Sarawak,1 orang,5246.0,5246.0
22190,Male,33.0,Sarawak,3 orang,5246.5835,5246.5835
